Restaurant,Tier,Complete Meal or Entree (Item + Price),Side/Salad if Unbundled (Price),Draft Beer (Price),Total (CAD),Bundled?,Notes,Confidence,Sources
Old Spaghetti Factory,"Local","Spaghetti w/ Meat Sauce — $23.00","Included (bread + soup/salad + spumoni + coffee)","Molson Canadian draft — $8.00","$31.00",Yes,"Complete meal bundled in entree price. Cheapest pasta entree on menu. Full meal = bread, soup or salad, spumoni ice cream, coffee/tea.",High,"oldspaghettifactory.ca; portfolio_data.py existing research"
Scaddabush Italian Kitchen & Bar,"Local","Spaghetti Sorrentina (Reg) — $19.97","Caesar or garden salad — ~$12.00*","Draft beer — ~$9.00*","$40.97",No*,"Entree only; no bundled sides. Salad and beer priced separately. Bolognese $23.97, Carbonara $25.67. Meatball app $18.67.",Medium,"scaddabush.com; TripAdvisor reviews; Uber Eats"
Bellissimo Pizzeria & Ristorante,"Local","Spaghetti Bolognese — $24.20","Side salad — ~$8.00*","Domestic bottle/draft — ~$7.50*","$39.70",No*,"Uber Eats pricing (may include markup). Chicken Parmigiana ~$35.20. Neighbourhood Italian, no bundled meal deal.",Medium,"Uber Eats; DoorDash; bellissimopizzeriaristorante.ca"
Amano Italian Kitchen,"Local","Rigatoni Bolognese — $26.00","Side salad — ~$10.00*","Draft beer — ~$9.00*","$45.00",No*,"DoorDash pricing. Spaghetti & Meatballs $28.00. Located inside Union Station. Upscale casual positioning.",Medium,"DoorDash; eatamano.com; pricelisto.com"
Cantina Mercatto,"Local","Pasta entree — ~$24.00*","Side salad — ~$12.00*","Draft beer/wine — ~$10.00*","$46.00",No*,"$$$ tier. Elevated Italian. Exact menu prices not confirmed via web search; estimates based on comparable Toronto upscale casual Italian.",Low,"mercatto.ca; Yelp; OpenTable"
Jack Astor's,"Local","Chicken Parm Linguine — ~$22.00","Included with entree (comes with pasta)","Draft beer — ~$10.00*","$32.00",Partial*,"Bar & grill with pasta. Chicken Parm Sandwich $22.06. Pasta entrees ~$20-23. Draft selection rotates; check in-restaurant.",Medium,"jackastors.com; pricelisto.com; ca.pricelisto.com"
Boston Pizza,"Local","Smoky Mountain Spaghetti & Meatballs — $21.49","Side salad — ~$8.00*","Draft beer — ~$8.50*","$37.99",No*,"National chain. Chicken Mushroom Fettuccine $21.99. Mac & Cheese $20.99. Beer selection varies by location.",High,"bostonpizza-menu.com; canadian-menus.com; multiple price aggregators"
Terroni,"Local","Spaghetti al Limone — ~$20.00","Side salad — ~$14.00*","Draft beer — ~$9.00*","$43.00",No*,"Upscale casual Italian. San Marzano Spaghetti ~$19.97 (Uber Eats Adelaide). Rigatoni Bolognese ~$23.97. No bundled meals.",Medium,"terroni.com; Uber Eats; DoorDash"
East Side Mario's,"City-wide","AYCE Pasta — $19.99","Included (AYCE soup/salad + garlic homeloaf)","Draft beer (Coors Light 17oz) — $7.40","$27.39",Yes,"All-You-Can-Eat pasta with unlimited soup/salad/bread. Regular pasta entrees start ~$20.99. Best direct value comp to OSF.",High,"eastsidemarios.com; menupricesincanada.com; portfolio_data.py"
Il Fornello,"City-wide","Spaghetti Pomodoro — $19.00","Side salad — ~$12.00*","Draft beer — ~$9.00*","$40.00",No*,"Casual fine dining pizza/pasta. Rigatoni Bolognese $22.00, Fettuccine Alfredo $21.00, Meat Lasagna $25.00. Danforth location.",High,"ilfornello.com; Uber Eats; NewlyOpened"
Mangiare,"City-wide","Spaghetti in Sugo Rosso — ~$18.00*","Side salad — ~$8.00*","Draft beer — ~$8.00*","$34.00",No*,"Family Italian in Junction. Thursday AYCE spaghetti $9.99. Chicken Parm ~$19. Very value-oriented.",Low,"mangiare.ca; Uber Eats; SkipTheDishes"
The Good Son Restaurant,"City-wide","Natalina pasta — $25.00","Side salad — ~$14.00*","Draft beer — ~$10.00*","$49.00",No*,"Elevated Italian-American. Spicy Rose Rigatoni $29, Mushroom Tagliatelle $28. Wed $14 pizza night. Upscale Queen West.",High,"thegoodsontoronto.com; TripAdvisor; DoorDash"
Piano Piano Restaurant,"City-wide","Rigatoni & Meatballs — $29.00","Side salad — ~$14.00*","Draft beer — ~$10.00*","$53.00",No*,"Upscale Italian. Sunday Supper 3-course $44. Mushroom Cavatelli $28. 55 Colborne location near St. Lawrence Market.",High,"pianopianotherestaurant.com; DoorDash; OpenTable"
Paisano's,"City-wide","Sauteed Mushroom Fettuccine — $13.00","Side salad — ~$5.00*","Domestic beer — ~$7.00*","$25.00",No*,"Budget-friendly neighbourhood Italian. Chicken Parm w/ penne $19. Veal Parm $22. Willowdale Ave, North York.",High,"thepaisanos.ca; DoorDash; Uber Eats"
Moxie's,"City-wide","Chicken Alfredo — $27.75","Included with entree","Draft beer — ~$9.00*","$36.75",Partial*,"Upscale casual. Chicken Madeira Rigatoni $29.25. Pasta comes plated with protein. Beer prices vary by location.",Medium,"moxies.com; Uber Eats Hamilton; menuspricescanada.com"
The Pickle Barrel,"City-wide","Pesto Chicken Linguine — $32.50","Included with entree","Draft beer — ~$9.00*","$41.50",Partial*,"Large-format casual dining. Lobster & Shrimp Linguine $38.50. Extensive menu. Happy hour $5 select items 3-5pm.",Medium,"picklebarrel.ca; DoorDash; Uber Eats"
Montana's,"City-wide","Creamy Mac 'n Cheese — $22.79","Side salad — ~$7.00*","Domestic draft (14oz) — $4.99","$34.78",No*,"BBQ focus; limited Italian. Mac & cheese is closest pasta. Served with cornbread. Premium draft $5.99.",High,"montanas.ca; canadianmenuwithprices.com; pricelisto.com"
Joey Restaurants,"City-wide","Spaghetti Pomodoro — $25.00","Side salad — ~$14.00*","Draft beer — ~$10.00*","$49.00",No*,"Upscale casual. Chicken Parm $33.25-$34.00. Ravioli Bianco $33.00. Premium positioning. Eaton Centre location.",High,"joeyrestaurants.com; canadianmenuwithprices.com; Uber Eats"
Gusto 101 / Gusto 54,"City-wide","Spaghetti & Meatballs — ~$28.00*","Side salad — ~$14.00*","Draft beer — ~$10.00*","$52.00",No*,"Trendy Italian. Known for 2-for-1 pasta. Portland St location. Bolognese rigatoni ~$28. Prices from older reviews.",Low,"gusto101.com; DoorDash; Yelp; TripAdvisor"
Uncle Tony's,"City-wide","Rigatoni Bolognese — $26.00","Side salad — ~$10.00*","Draft beer — ~$9.00*","$45.00",No*,"Authentic Italian near St. Lawrence Market. Penne alla Vodka $26. Spaghetti Carbonara $28. Side pasta w/ tomato $14.",Medium,"uncletonys.ca; DoorDash; Uber Eats"
Café Diplomatico,"City-wide","Spaghetti (tomato sauce) — $16.00","Side salad — ~$8.00*","Diplomatico Lager (Amsterdam) — $6.00","$30.00",No*,"Little Italy institution. 50+ years. Bolognese +$0.50 upgrade. Wood-fired pizza from $24. Great patio. Value Italian.",Medium,"cafediplomatico.ca; DoorDash; Yelp"
Olive Garden,"Global (USD→CAD)","Spaghetti w/ Meat Sauce — US$12.99 (C$17.80)","Included (unlimited soup/salad + breadsticks)","Bud Light draft — US$5.49 (C$7.52)","C$25.32",Yes,"US pricing converted at 1.37. Unlimited soup/salad/breadsticks bundled. Massive scale advantage. Closest global OSF comp.",High,"olivegarden.com; theolivegardenmenus.us; o-gardenmenu.onl"
Spaghetti Warehouse,"Global (USD→CAD)","Spaghetti & Meatballs — ~US$14.00 (C$19.18)*","Included (sourdough bread + soup or salad)","Draft beer (22oz) — US$5.00 (C$6.85)","C$26.03",Yes,"US pricing converted at 1.37. Bundled meal like OSF. Entrees include bread + soup/salad. Located in heritage buildings. Closest US OSF parallel.",Medium,"meatballs.com; menuwithprice.org; menuxp.com"
Frankie & Benny's,"Global (GBP→CAD)","Carbonara — £14.75 (C$25.81)","Side salad — ~£4.50 (C$7.88)*","Draft beer — ~£5.50 (C$9.63)*","C$43.31",No*,"UK pricing converted at 1.75. Beef Lasagne £14.25. Beers/wines £4-£7. American-Italian casual dining chain.",Medium,"frankieandbennys.com; hot-menus.co.uk; menuspot.uk"
ASK Italian,"Global (GBP→CAD)","Spaghetti Bolognese — ~£14.00 (C$24.50)*","Side salad — ~£5.00 (C$8.75)*","Draft beer — ~£5.50 (C$9.63)*","C$42.88",No*,"UK pricing converted at 1.75. Typical meal £20-£30/pp. Wide pasta range. Linguine Carbonara also available.",Low,"askitalian.co.uk; menusprice.uk; menuspot.uk"
Prezzo,"Global (GBP→CAD)","Pasta dish — ~£14.00 (C$24.50)*","Side salad — ~£4.50 (C$7.88)*","Draft beer — ~£5.50 (C$9.63)*","C$42.00",No*,"UK pricing converted at 1.75. Pasta £12.75-£17.95 range. Chargrilled mains from £11.95. Mid-market Italian chain.",Low,"prezzo.co.uk; menuexplorer.co.uk; pricelisto.com"
Buca di Beppo,"Global (USD→CAD)","Spaghetti & Meatballs (individual) — ~US$17.00 (C$23.29)*","Included (bread + salad with lunch combo $10.99)","Draft beer — ~US$7.00 (C$9.59)*","C$32.88",Partial*,"US pricing converted at 1.37. Family-style portions are larger ($34.50). Lunch combo $10.99 includes pasta+bread+salad. Monday 50% off spaghetti.",Medium,"dineatbuca.com; bucadibeppomenu.com; menuwithprice.org"
